Target,Segment,N,MAE,RMSE,MAPE_%,Median_AE,P90_Error,Std_Error
Revenue,OVERALL,548,747902.45,1040891.18,28.76,565467.85,1583507.47,1025785.26
Revenue,Season: Normal (Q2-Q3),274,887003.09,1172775.74,29.52,748254.68,1870532.71,1166246.03
Revenue,Season: Mega Sales (Q4),184,489511.28,659366.95,27.17,360130.91,1060526.81,650464.59
Revenue,Season: Tet (Q1),90,852684.68,1233224.82,29.69,580137.01,1641721.6,1136472.02
Revenue,Horizon: 0-180d,181,611498.37,808154.24,33.4,483644.77,1267736.52,776184.64
Revenue,Horizon: 181-365d,185,956989.25,1273878.98,27.05,742526.92,2150092.83,1193740.68
Revenue,Horizon: 366+d,182,671023.78,981441.85,25.88,477532.19,1394560.99,933235.8
COGS,OVERALL,548,660133.12,918767.72,26.81,472964.45,1474392.96,892493.25
COGS,Season: Normal (Q2-Q3),274,763191.11,1010740.92,25.4,614935.05,1713724.57,988718.46
COGS,Season: Mega Sales (Q4),184,460142.9,631880.09,27.47,342479.6,884272.34,621019.46
COGS,Season: Tet (Q1),90,755247.72,1101522.88,29.71,492908.45,1566665.86,1004978.9
COGS,Horizon: 0-180d,181,535940.57,721059.0,27.14,399220.68,1195141.02,720643.88
COGS,Horizon: 181-365d,185,850857.92,1152877.32,27.24,645946.05,1954881.99,1074861.29
COGS,Horizon: 366+d,182,589774.7,820715.81,26.03,428180.33,1339263.52,793722.17
