tet_strength,Target,MAE,RMSE,R2,w_naive,w_prophet,w_hybrid
0.15,COGS,659463.7301309549,919254.0386797097,0.5479977260108015,0.8,0.0,0.19999999999999996
0.1,COGS,659623.672179926,919861.886756499,0.5473997638830679,0.8,0.0,0.19999999999999996
0.2,COGS,659653.9038392396,918889.2204136215,0.5483564211218427,0.8,0.0,0.19999999999999996
0.25,COGS,660133.1245701448,918767.7214603338,0.5484758492161914,0.8,0.0,0.19999999999999996
0.3,COGS,660923.2333159558,918889.6383375637,0.548356010293848,0.8,0.0,0.19999999999999996
0.35,COGS,662339.3035959766,919254.8741956872,0.5479969043548119,0.8,0.0,0.19999999999999996
0.1,Revenue,746175.8487544929,1039751.3376192597,0.5517641971176195,0.75,0.0,0.25
0.15,Revenue,746478.9823632379,1039095.5836804361,0.5523294086128794,0.75,0.0,0.25
0.2,Revenue,746921.2949352702,1038763.3004830263,0.5526156760815473,0.75,0.0,0.25
0.25,Revenue,747773.8511008406,1038754.7984484363,0.5526229995236233,0.75,0.0,0.25
0.3,Revenue,748660.0807939022,1039070.0855245381,0.5523513789391072,0.75,0.0,0.25
0.35,Revenue,749742.9056515574,1041696.2045904183,0.5500857682578939,0.7000000000000001,0.0,0.29999999999999993
